class,images,instances,precision,recall,map50,map50-95
all,1144,16688,0.484,0.263,0.35,0.219
person,819,4470,0.607,0.729,0.74,0.427
bike,135,170,0.427,0.547,0.476,0.313
car,1047,7128,0.637,0.82,0.833,0.596
motor,47,55,0.654,0.584,0.616,0.327
bus,126,179,0.918,0.0628,0.491,0.346
truck,42,46,0,0,0.000784,0.000513
light,439,2002,0.099,0.135,0.0695,0.0295
hydrant,93,94,0.79,0.24,0.375,0.236
sign,848,2472,0.679,0.0343,0.278,0.158
skateboard,3,3,0,0,0,0
stroller,6,6,1,0,0.274,0.171
other vehicle,53,63,0,0,0.0486,0.0238

