class,images,instances,precision,recall,map50,map50-95
all,1144,16688,0.692,0.428,0.502,0.299
person,819,4470,0.756,0.744,0.799,0.481
bike,135,170,0.597,0.553,0.545,0.347
car,1047,7128,0.792,0.817,0.865,0.632
motor,47,55,0.691,0.651,0.72,0.364
bus,126,179,0.726,0.587,0.646,0.46
truck,42,46,0.345,0.326,0.246,0.157
light,439,2002,0.746,0.541,0.62,0.304
hydrant,93,94,0.778,0.309,0.383,0.204
sign,848,2472,0.685,0.515,0.581,0.363
skateboard,3,3,1,0,0.501,0.2
stroller,6,6,1,0,0.0241,0.0241
other vehicle,53,63,0.187,0.0877,0.091,0.0454
