class,images,instances,precision,recall,map50,map50-95
all,1144,16688,0.654,0.24,0.322,0.201
person,819,4470,0.864,0.667,0.792,0.477
bike,135,170,0.613,0.506,0.517,0.312
car,1047,7128,0.877,0.766,0.859,0.626
motor,47,55,0.873,0.691,0.782,0.431
bus,126,179,0.795,0.0434,0.298,0.21
truck,42,46,0.00383,0.087,0.00472,0.00334
light,439,2002,0.0686,0.0425,0.0575,0.0252
hydrant,93,94,0.833,0.0426,0.276,0.169
sign,848,2472,0.925,0.035,0.235,0.144
skateboard,3,3,0.0,0.0,0.0,0.0
stroller,6,6,1.0,0.0,0.0,0.0
other vehicle,53,63,1.0,0.0,0.0417,0.0135
