class,images,instances,precision,recall,map50,map50-95
all,1144,16688,0.525,0.328,0.348,0.218
person,819,4470,0.546,0.76,0.742,0.429
bike,135,170,0.157,0.612,0.446,0.277
car,1047,7128,0.513,0.85,0.828,0.588
motor,47,55,0.331,0.709,0.656,0.394
bus,126,179,0.888,0.311,0.557,0.393
truck,42,46,0.00263,0.087,0.00213,0.0015
light,439,2002,0.138,0.189,0.0893,0.0375
hydrant,93,94,0.921,0.249,0.434,0.257
sign,848,2472,0.798,0.173,0.406,0.233
skateboard,3,3,1,0,0,0
stroller,6,6,1,0,0,0
other vehicle,53,63,0,0,0.0175,0.00984
