class,images,instances,precision,recall,map50,map50-95
all,1144,16688,0.708,0.413,0.496,0.296
person,819,4470,0.786,0.732,0.797,0.476
bike,135,170,0.598,0.518,0.538,0.338
car,1047,7128,0.814,0.808,0.866,0.631
motor,47,55,0.718,0.582,0.695,0.384
bus,126,179,0.808,0.518,0.665,0.491
truck,42,46,0.368,0.348,0.218,0.141
light,439,2002,0.76,0.563,0.629,0.309
hydrant,93,94,0.714,0.255,0.423,0.223
sign,848,2472,0.69,0.507,0.577,0.363
skateboard,3,3,1,0,0.401,0.12
stroller,6,6,1,0,0.0225,0.0118
other vehicle,53,63,0.236,0.128,0.122,0.0679
