class,images,instances,precision,recall,map50,map50-95
all,1144,16688,0.462,0.328,0.36,0.226
person,819,4470,0.529,0.755,0.73,0.423
bike,135,170,0.286,0.618,0.534,0.334
car,1047,7128,0.607,0.828,0.832,0.597
motor,47,55,0.466,0.655,0.654,0.421
bus,126,179,0.787,0.207,0.558,0.393
truck,42,46,0.000806,0.0217,0.00236,0.00158
light,439,2002,0.164,0.222,0.102,0.0423
hydrant,93,94,0.642,0.383,0.447,0.245
sign,848,2472,0.727,0.218,0.404,0.225
skateboard,3,3,0,0,0,0
stroller,6,6,1,0,0.00783,0.0047
other vehicle,53,63,0.333,0.0317,0.0484,0.0228

